soc,industry,sector,segment,category,categoryId,jobtitle,description,empl_2016,empl_2026,empl_change_num,empl_change_pct,self_empl_2016,avg_annual_openings,median_wage_2016,education,work_exp,otj_training,,,,,,,,,,,,,,,,,,,,,,,
11-1011.00,Business,Management occupations,Top executives,Management,1,Chief executives,"Determine and formulate policies and provide overall direction of companies or private and public sector organizations within guidelines set up by a board of directors or similar governing body. Plan, direct, or coordinate operational activities at the highest level of management with the help of subordinate executives and staff managers.",308.9,298.2,-10.7,-3.5,22.8,20.1,181210,Bachelor''s degree,5 years or more,None,,,,,"insert into public.""Jobs"" (soc,industry,sector,segment,category,categoryid,jobtitle,description,empl_2016,empl_2026,empl_change_num,empl_change_pct,self_empl_2016,avg_annual_openings,median_wage_2016,education,work_exp,otj_training) VALUES (","'11-1011.00',","'Business',","'Management occupations',","'Top executives',","'Management',","'1',","'Chief executives',","'Determine and formulate policies and provide overall direction of companies or private and public sector organizations within guidelines set up by a board of directors or similar governing body. Plan, direct, or coordinate operational activities at the highest level of management with the help of subordinate executives and staff managers.',","'308.9',","'298.2',","'-10.7',","'-3.5',","'22.8',","'20.1',","'181210',","'Bachelor''s degree',","'5 years or more',",'None');
11-1021.00,Business,Management occupations,Top executives,Management,1,General and operations managers,"Plan, direct, or coordinate the operations of public or private sector organizations. Duties and responsibilities include formulating policies, managing daily operations, and planning the use of materials and human resources, but are too diverse and general in nature to be classified in any one functional area of management or administration, such as personnel, purchasing, or administrative services.",2263.1,2469,205.9,9.1,0.6,210.8,99310,Bachelor''s degree,5 years or more,None,,,,,"insert into public.""Jobs"" (soc,industry,sector,segment,category,categoryid,jobtitle,description,empl_2016,empl_2026,empl_change_num,empl_change_pct,self_empl_2016,avg_annual_openings,median_wage_2016,education,work_exp,otj_training) VALUES (","'11-1021.00',","'Business',","'Management occupations',","'Top executives',","'Management',","'1',","'General and operations managers',","'Plan, direct, or coordinate the operations of public or private sector organizations. Duties and responsibilities include formulating policies, managing daily operations, and planning the use of materials and human resources, but are too diverse and general in nature to be classified in any one functional area of management or administration, such as personnel, purchasing, or administrative services.',","'2263.1',","'2469',","'205.9',","'9.1',","'0.6',","'210.8',","'99310',","'Bachelor''s degree',","'5 years or more',",'None');
11-1031.00,Business,Management occupations,Top executives,Management,1,Legislators,"Develop, introduce or enact laws and statutes at the local, tribal, State, or Federal level. Includes only workers in elected positions.",55.5,59.4,3.9,7.1,0,4.4,23470,Bachelor''s degree,Less than 5 years,None,,,,,"insert into public.""Jobs"" (soc,industry,sector,segment,category,categoryid,jobtitle,description,empl_2016,empl_2026,empl_change_num,empl_change_pct,self_empl_2016,avg_annual_openings,median_wage_2016,education,work_exp,otj_training) VALUES (","'11-1031.00',","'Business',","'Management occupations',","'Top executives',","'Management',","'1',","'Legislators',","'Develop, introduce or enact laws and statutes at the local, tribal, State, or Federal level. Includes only workers in elected positions.',","'55.5',","'59.4',","'3.9',","'7.1',","'0',","'4.4',","'23470',","'Bachelor''s degree',","'Less than 5 years',",'None');
11-2011.00,Business,Management occupations,"Advertising, marketing, promotions, public relations, and sales managers",Management,1,Advertising and promotions managers,"Plan, direct, or coordinate advertising policies and programs or produce collateral materials, such as posters, contests, coupons, or give-aways, to create extra interest in the purchase of a product or service for a department, an entire organization, or on an account basis.",31.3,33.1,1.8,5.8,5.2,3.4,100810,Bachelor''s degree,Less than 5 years,None,,,,,"insert into public.""Jobs"" (soc,industry,sector,segment,category,categoryid,jobtitle,description,empl_2016,empl_2026,empl_change_num,empl_change_pct,self_empl_2016,avg_annual_openings,median_wage_2016,education,work_exp,otj_training) VALUES (","'11-2011.00',","'Business',","'Management occupations',","'Advertising, marketing, promotions, public relations, and sales managers',","'Management',","'1',","'Advertising and promotions managers',","'Plan, direct, or coordinate advertising policies and programs or produce collateral materials, such as posters, contests, coupons, or give-aways, to create extra interest in the purchase of a product or service for a department, an entire organization, or on an account basis.',","'31.3',","'33.1',","'1.8',","'5.8',","'5.2',","'3.4',","'100810',","'Bachelor''s degree',","'Less than 5 years',",'None');
11-2021.00,Business,Management occupations,"Advertising, marketing, promotions, public relations, and sales managers",Management,1,Marketing managers,"Plan, direct, or coordinate marketing policies and programs, such as determining the demand for products and services offered by a firm and its competitors, and identify potential customers. Develop pricing strategies with the goal of maximizing the firm''s profits or share of the market while ensuring the firm''s customers are satisfied. Oversee product development or monitor trends that indicate the need for new products and services.",218.3,240.1,21.8,10,3.5,21.3,131180,Bachelor''s degree,5 years or more,None,,,,,"insert into public.""Jobs"" (soc,industry,sector,segment,category,categoryid,jobtitle,description,empl_2016,empl_2026,empl_change_num,empl_change_pct,self_empl_2016,avg_annual_openings,median_wage_2016,education,work_exp,otj_training) VALUES (","'11-2021.00',","'Business',","'Management occupations',","'Advertising, marketing, promotions, public relations, and sales managers',","'Management',","'1',","'Marketing managers',","'Plan, direct, or coordinate marketing policies and programs, such as determining the demand for products and services offered by a firm and its competitors, and identify potential customers. Develop pricing strategies with the goal of maximizing the firm''s profits or share of the market while ensuring the firm''s customers are satisfied. Oversee product development or monitor trends that indicate the need for new products and services.',","'218.3',","'240.1',","'21.8',","'10',","'3.5',","'21.3',","'131180',","'Bachelor''s degree',","'5 years or more',",'None');
11-2022.00,Business,Management occupations,"Advertising, marketing, promotions, public relations, and sales managers",Management,1,Sales managers,"Plan, direct, or coordinate the actual distribution or movement of a product or service to the customer. Coordinate sales distribution by establishing sales territories, quotas, and goals and establish training programs for sales representatives. Analyze sales statistics gathered by staff to determine sales potential and inventory requirements and monitor the preferences of customers.",385.5,413.9,28.4,7.4,3.6,36.2,117960,Bachelor''s degree,Less than 5 years,None,,,,,"insert into public.""Jobs"" (soc,industry,sector,segment,category,categoryid,jobtitle,description,empl_2016,empl_2026,empl_change_num,empl_change_pct,self_empl_2016,avg_annual_openings,median_wage_2016,education,work_exp,otj_training) VALUES (","'11-2022.00',","'Business',","'Management occupations',","'Advertising, marketing, promotions, public relations, and sales managers',","'Management',","'1',","'Sales managers',","'Plan, direct, or coordinate the actual distribution or movement of a product or service to the customer. Coordinate sales distribution by establishing sales territories, quotas, and goals and establish training programs for sales representatives. Analyze sales statistics gathered by staff to determine sales potential and inventory requirements and monitor the preferences of customers.',","'385.5',","'413.9',","'28.4',","'7.4',","'3.6',","'36.2',","'117960',","'Bachelor''s degree',","'Less than 5 years',",'None');
11-2031.00,Business,Management occupations,"Advertising, marketing, promotions, public relations, and sales managers",Management,1,Public relations and fundraising managers,"Plan, direct, or coordinate activities designed to create or maintain a favorable public image or raise issue awareness for their organization or client; or if engaged in fundraising, plan, direct, or coordinate activities to solicit and maintain funds for special projects or nonprofit organizations.",73.5,81.1,7.7,10.4,0,6.9,107320,Bachelor''s degree,5 years or more,None,,,,,"insert into public.""Jobs"" (soc,industry,sector,segment,category,categoryid,jobtitle,description,empl_2016,empl_2026,empl_change_num,empl_change_pct,self_empl_2016,avg_annual_openings,median_wage_2016,education,work_exp,otj_training) VALUES (","'11-2031.00',","'Business',","'Management occupations',","'Advertising, marketing, promotions, public relations, and sales managers',","'Management',","'1',","'Public relations and fundraising managers',","'Plan, direct, or coordinate activities designed to create or maintain a favorable public image or raise issue awareness for their organization or client; or if engaged in fundraising, plan, direct, or coordinate activities to solicit and maintain funds for special projects or nonprofit organizations.',","'73.5',","'81.1',","'7.7',","'10.4',","'0',","'6.9',","'107320',","'Bachelor''s degree',","'5 years or more',",'None');
11-3011.00,Business,Management occupations,Operations specialties managers,Management,1,Administrative services managers,"Plan, direct, or coordinate one or more administrative services of an organization, such as records and information management, mail distribution, facilities planning and maintenance, custodial operations, and other office support services.",281.7,310.1,28.4,10.1,0.2,26.2,90050,Bachelor''s degree,Less than 5 years,None,,,,,"insert into public.""Jobs"" (soc,industry,sector,segment,category,categoryid,jobtitle,description,empl_2016,empl_2026,empl_change_num,empl_change_pct,self_empl_2016,avg_annual_openings,median_wage_2016,education,work_exp,otj_training) VALUES (","'11-3011.00',","'Business',","'Management occupations',","'Operations specialties managers',","'Management',","'1',","'Administrative services managers',","'Plan, direct, or coordinate one or more administrative services of an organization, such as records and information management, mail distribution, facilities planning and maintenance, custodial operations, and other office support services.',","'281.7',","'310.1',","'28.4',","'10.1',","'0.2',","'26.2',","'90050',","'Bachelor''s degree',","'Less than 5 years',",'None');
11-3021.00,Business,Management occupations,Operations specialties managers,Management,1,Computer and information systems managers,"Plan, direct, or coordinate activities in such fields as electronic data processing, information systems, systems analysis, and computer programming.",367.6,411.4,43.8,11.9,0.8,32.5,135800,Bachelor''s degree,5 years or more,None,,,,,"insert into public.""Jobs"" (soc,industry,sector,segment,category,categoryid,jobtitle,description,empl_2016,empl_2026,empl_change_num,empl_change_pct,self_empl_2016,avg_annual_openings,median_wage_2016,education,work_exp,otj_training) VALUES (","'11-3021.00',","'Business',","'Management occupations',","'Operations specialties managers',","'Management',","'1',","'Computer and information systems managers',","'Plan, direct, or coordinate activities in such fields as electronic data processing, information systems, systems analysis, and computer programming.',","'367.6',","'411.4',","'43.8',","'11.9',","'0.8',","'32.5',","'135800',","'Bachelor''s degree',","'5 years or more',",'None');
11-3031.00,Business,Management occupations,Operations specialties managers,Management,1,Financial managers,"Plan, direct, or coordinate accounting, investing, banking, insurance, securities, and other financial activities of a branch, office, or department of an establishment.",580.4,688.8,108.4,18.7,2.6,56.8,121750,Bachelor''s degree,5 years or more,None,,,,,"insert into public.""Jobs"" (soc,industry,sector,segment,category,categoryid,jobtitle,description,empl_2016,empl_2026,empl_change_num,empl_change_pct,self_empl_2016,avg_annual_openings,median_wage_2016,education,work_exp,otj_training) VALUES (","'11-3031.00',","'Business',","'Management occupations',","'Operations specialties managers',","'Management',","'1',","'Financial managers',","'Plan, direct, or coordinate accounting, investing, banking, insurance, securities, and other financial activities of a branch, office, or department of an establishment.',","'580.4',","'688.8',","'108.4',","'18.7',","'2.6',","'56.8',","'121750',","'Bachelor''s degree',","'5 years or more',",'None');
